abbrev,name
REP,Republican
DEM,Democratic
GRE,Green
LIB,Libertarian
DFL,Democratic-Farmer-Labor
AKI,Alaskan Independence
ACP,American Constitution
AIP,American Independent
CIT,Citizens
CON,Conservative
CST,Constitution
MTN,Mountain
PFP,Peace and Freedom
PRG,Progressive
REF,Reform
SOC,Socialist
SWP,Socialist Workers
IAP,Independent American
IDP,Independence
TEA,Tea
MOD,Moderate
UST,U.S. Taxpayers
WF,Working Families
FEP,Free Energy
WW,World Workers
GRP,Grassroots
NLP,Natural Law
FED,Federalist
SEP,Socialist Equality
CF,Christian Freedom
CNP,Concerns of People
PCH,Personal Choice
IND,Independent
NPA,No Party Affiliation
WRI,Write-In
