name,slug
Iowa Senate,iowa-senate
Iowa House of Representatives,iowa-house
Secretary of State,secretary-state
Auditor of State,auditor-state
Treasurer of State,treasurer-state
Secretary of Agriculture,secretary-agriculture
Chief Justice of the Supreme Court,chief-justice-supreme-court
Justice of the Supreme Court,justice-supreme-court
Judge of the Court of Appeals,judge-court-appeals
Board of Supervisors,board-supervisors
County Auditor,county-auditor
County Sheriff,county-sheriff
County Supervisor,county-supervisor
Soil and Water Comissioner,soil-water-comissioner
County Agricultural Extension Council,county-agricultural-council
County Treasurer,county-treasurer
County Recorder,county-recorder
County Engineer,county-engineer
County Treasurer,county-treasurer
County Assessor,county-assessor
County Engineer,county-engineer
