state,year,office,election_type,date,seat,party,jurisdiction,url,download_url,formats,total_votes,pct,precincts,pct_reporting,certified
OH,2010,Governor,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102governor.aspx,,html,x,x,,,x
OH,2010,Governor,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102governor.aspx,,html,x,,,,x
OH,2010,Attorney General,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102ag.aspx,,html,x,x,,,x
OH,2010,Attorney General,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102ag.aspx,,html,x,,,,x
OH,2010,Auditor of State,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102auditor.aspx,,html,x,x,,,x
OH,2010,Auditor of State,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102auditor.aspx,,html,x,,,,x
OH,2010,Secretary of State,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102sos.aspx,,html,x,x,,,x
OH,2010,Secretary of State,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102sos.aspx,,html,x,,,,x
OH,2010,Treasurer of State,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102treasurer.aspx,,html,x,x,,,x
OH,2010,Treasurer of State,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102treasurer.aspx,,html,x,,,,x
OH,2010,U.S. Senate,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102senator.aspx,,html,x,x,,,x
OH,2010,U.S. Senate,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102senator.aspx,,html,x,,,,x
OH,2010,U.S. House,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102congress.aspx,,html,x,x,,,x
OH,2010,U.S. House,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102congress.aspx,,html,x,,,,x
OH,2010,Chief Justice of the Supreme Court,General,11/2/2010,,,Statewide,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102chief.aspx,,html,x,x,,,x
OH,2010,Chief Justice of the Supreme Court,General,11/2/2010,,,County,http://www.sos.state.oh.us/sos/elections/Research/electResultsMain/2010results/20101102chief.aspx,,html,x,,,,x
