state,year,office,election_type,seat,party,jurisdiction,url,download_url,formats,total_votes,pct,precincts,pct_reporting,certified
OH,2012,all,Primary,,,,,http://vote.sos.state.oh.us/pls/enrpublic/wwv_flow.show?p_flow_id=130&p_flow_step_id=0&p_request=APPLICATION_PROCESS=rss_feed,rss,x,x,,,FALSE
OH,2012,President,Primary,,,Statewide,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:18:0:PRDSW:NO::P18_SELECTED:1,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,DEM,County,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:DC36D0BFBBC9473980D6CC6CBDCEDAA6,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,REP,County,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:AC907F21E81A49739DD42F959CC4AFCC,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,REP,CD,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:18:0:PRDCD:NO::P18_SELECTED:2,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,REP,CD1,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:5C5E8D15E0FB480A869B0710960EF23D,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,REP,CD2,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:6692585398F6489ABACCFA0DA41D2463,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,REP,CD3,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:98E10BBD428D4C1899F3217711B45DBA,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,REP,CD4,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:01E86F358345401184FD57F63DA5A4F3,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,REP,CD5,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:3F9E13D2BE1D4FDAA509B888F610623F,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,REP,CD6,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:7649E637A9A14E78B872C74C2BFF1B6F,,html|csv,x,x,x,x,FALSE
OH,2012,President,Primary,,REP,CD7,http://vote.sos.state.oh.us/pls/enrpublic/f?p=130:105:0::NO::P105_RACE_OR_ISSUE_ID:99FAFFE65DE14EBD90ACA0E816BC4775,,html|csv,x,x,x,x,FALSE
